categories;comments_count;shares_count;sources;summary;timestamp;title;url;writer
https://www.tecmundo.com.br/mercado/206401-leilao-virtual-oi-confirmado-dia-14-dezembro.htm;['Mercado', 'Oi', 'Telefonia'];0;0; Tele.Síntese ;Está marcado para o dia 14 de dezembro o leilão de torres e data centers da ;2020-11-06T18:13:36;Leilão virtual da Oi é confirmado para o dia 14 de dezembro; Reinaldo Zaruvni 
https://www.tecmundo.com.br/produto/206359-razer-book-13-1-notebook-marca-o-mercado-mainstream.htm;['Produto', 'Razer', 'Notebook'];0;5; Engadget ;Nesta quinta-feira (05), a ;2020-11-06T17:30:01;Razer Book 13 é o 1º notebook da marca para o mercado mainstream; Ramalho Lima 
https://www.tecmundo.com.br/cultura-geek/206385-johnny-depp-deixa-franquia-animais-fantasticos.htm;['Cultura Geek', 'Cinema', 'Cinema e Seriados', 'Filmes', 'Harry Potter'];0;0; Variety ;Johnny Depp não vai mais interpretar o bruxo Gellert Grindelwald na franquia ;2020-11-06T16:42:32;Johnny Depp deixa a franquia Animais Fantásticos; Mikaela Brasil Oliveira 
https://www.tecmundo.com.br/cultura-geek/206367-netflix-testar-canal-programacao-linear-franca.htm;['Cultura Geek', 'Netflix', 'Streaming'];0;0; Variety ;A ;2020-11-06T16:30:01;Netflix irá testar canal com programação linear na França; Robinson Samulak Alves 
https://www.tecmundo.com.br/ciencia/206360-estrela-planetas-formam-juntos-se-pensava.htm;['Ciência', 'Astronomia', 'História'];0;0; Max Planck Institute for Extraterrestrial Physics ;"Como os planetas se formam a astrofísica já sabe; ""quando"" é a pergunta que começa a ser respondida, e um estudo, publicado em fins de outubro na revista ";2020-11-06T16:00:01;Estrela e planetas se formam juntos e mais cedo do que se pensava; Julia Marinho 
https://www.tecmundo.com.br/seguranca/206369-bolsonaro-diz-pf-identificou-hacker-que-atacou-stj.htm;['Segurança', 'Ataque hacker', 'Governo', 'Política'];0;0; ConJur ;Em transmissão ao vivo no ;2020-11-06T14:38:12;Bolsonaro diz que PF já identificou hacker que atacou STJ; Reinaldo Zaruvni 
